,Pesos,Condutância
1220,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
1221,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
1222,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
1223,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
1224,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.94 0.00
1225,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.89 0.00
1226,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.84 0.00
1227,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.78 0.00
1228,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.73 0.00
1229,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.67 0.00
1230,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.61 0.00
1231,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.56 0.00
1232,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.51 0.00
1233,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.46 0.00
1234,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.42 0.00
1235,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.37 0.00
1236,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.34 0.00
1237,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.30 0.00
1238,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.27 0.00
1239,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.24 0.00
1240,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.21 0.00
1241,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.19 0.00
1242,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.17 0.00
1243,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.15 0.00
1244,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.13 0.00
1245,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.12 0.00
1246,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.10 0.00
1247,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.09 0.00
1248,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.08 0.00
1249,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.07 0.00
1250,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
1251,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
1252,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.05 0.00
1253,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.00
1254,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.00
1255,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.03 0.00
1256,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.03 0.00
1257,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
1258,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
1259,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
1260,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
1261,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
1262,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
1263,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
1264,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
1265,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
1266,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.36 0.00
1267,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.62 0.00
1268,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.80 0.00
1269,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.91 0.00
1270,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
1271,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
1272,-14.08 -14.90 -14.11 -14.89,0.00 0.00 1.00 0.00
1273,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.97 0.00
1274,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.94 0.00
1275,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.89 0.00
1276,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.84 0.00
1277,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.78 0.00
1278,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.73 0.00
1279,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.67 0.00
1280,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.61 0.00
1281,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.56 0.00
1282,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.51 0.00
1283,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.46 0.00
1284,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.42 0.00
1285,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.37 0.00
1286,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.34 0.00
1287,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.30 0.00
1288,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.27 0.00
1289,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.24 0.00
1290,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.21 0.00
1291,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.19 0.00
1292,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.17 0.00
1293,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.15 0.00
1294,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.13 0.00
1295,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.12 0.00
1296,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.10 0.00
1297,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.09 0.00
1298,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.08 0.00
1299,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.07 0.00
1300,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
1301,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.06 0.00
1302,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.05 0.00
1303,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.04 0.00
1304,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.04 0.00
1305,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.03 0.00
1306,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.03 0.00
1307,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.03 0.00
1308,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.02 0.00
1309,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.02 0.00
1310,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.02 0.00
1311,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.01 0.00
1312,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.01 0.00
1313,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.01 0.00
1314,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.01 0.00
1315,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.01 0.00
1316,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.01 0.00
1317,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.01 0.00
1318,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.01 0.00
1319,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.01 0.00
1320,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1321,-14.08 -14.90 -14.11 -14.89,0.94 0.00 0.00 0.00
1322,-14.08 -14.90 -14.11 -14.89,0.89 0.00 0.00 0.00
1323,-14.08 -14.90 -14.11 -14.89,0.84 0.00 0.00 0.00
1324,-14.08 -14.90 -14.11 -14.89,0.78 0.00 0.00 0.00
1325,-14.08 -14.90 -14.11 -14.89,0.73 0.00 0.00 0.00
1326,-14.08 -14.90 -14.11 -14.89,0.67 0.00 0.00 0.00
1327,-14.08 -14.90 -14.11 -14.89,0.61 0.00 0.00 0.00
1328,-14.08 -14.90 -14.11 -14.89,0.56 0.00 0.00 0.00
1329,-14.08 -14.90 -14.11 -14.89,0.51 0.00 0.00 0.00
1330,-14.08 -14.90 -14.11 -14.89,0.46 0.00 0.00 0.00
1331,-14.08 -14.90 -14.11 -14.89,0.42 0.00 0.00 0.00
1332,-14.08 -14.90 -14.11 -14.89,0.37 0.00 0.00 0.00
1333,-14.08 -14.90 -14.11 -14.89,0.34 0.00 0.00 0.00
1334,-14.08 -14.90 -14.11 -14.89,0.30 0.00 0.00 0.00
1335,-14.08 -14.90 -14.11 -14.89,0.27 0.00 0.00 0.00
1336,-14.08 -14.90 -14.11 -14.89,0.24 0.00 0.00 0.00
1337,-14.08 -14.90 -14.11 -14.89,0.21 0.00 0.00 0.00
1338,-14.08 -14.90 -14.11 -14.89,0.19 0.00 0.00 0.00
1339,-14.08 -14.90 -14.11 -14.89,0.17 0.00 0.00 0.00
1340,-14.08 -14.90 -14.11 -14.89,0.15 0.00 0.00 0.00
1341,-14.08 -14.90 -14.11 -14.89,0.13 0.00 0.00 0.00
1342,-14.08 -14.90 -14.11 -14.89,0.12 0.00 0.00 0.00
1343,-14.08 -14.90 -14.11 -14.89,0.10 0.00 0.00 0.00
1344,-14.08 -14.90 -14.11 -14.89,0.09 0.00 0.00 0.00
1345,-14.08 -14.90 -14.11 -14.89,0.08 0.00 0.00 0.00
1346,-14.08 -14.90 -14.11 -14.89,0.07 0.00 0.00 0.00
1347,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
1348,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
1349,-14.08 -14.90 -14.11 -14.89,0.05 0.00 0.00 0.00
1350,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1351,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1352,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1353,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1354,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1355,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1356,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1357,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1358,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1359,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1360,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1361,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1362,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1363,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1364,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
1365,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
1366,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1367,-14.08 -14.90 -14.11 -14.89,0.94 0.00 0.00 0.00
1368,-14.08 -14.90 -14.11 -14.89,0.89 0.00 0.00 0.00
1369,-14.08 -14.90 -14.11 -14.89,0.84 0.00 0.00 0.00
1370,-14.08 -14.90 -14.11 -14.89,0.78 0.00 0.00 0.00
1371,-14.08 -14.90 -14.11 -14.89,0.73 0.00 0.00 0.00
1372,-14.08 -14.90 -14.11 -14.89,0.67 0.00 0.00 0.00
1373,-14.08 -14.90 -14.11 -14.89,0.61 0.00 0.00 0.00
1374,-14.08 -14.90 -14.11 -14.89,0.56 0.00 0.00 0.00
1375,-14.08 -14.90 -14.11 -14.89,0.51 0.00 0.00 0.00
1376,-14.08 -14.90 -14.11 -14.89,0.46 0.00 0.00 0.00
1377,-14.08 -14.90 -14.11 -14.89,0.42 0.00 0.00 0.00
1378,-14.08 -14.90 -14.11 -14.89,0.37 0.00 0.00 0.00
1379,-14.08 -14.90 -14.11 -14.89,0.34 0.00 0.00 0.00
1380,-14.08 -14.90 -14.11 -14.89,0.30 0.00 0.00 0.00
1381,-14.08 -14.90 -14.11 -14.89,0.27 0.00 0.00 0.00
1382,-14.08 -14.90 -14.11 -14.89,0.24 0.00 0.00 0.00
1383,-14.08 -14.90 -14.11 -14.89,0.21 0.00 0.00 0.00
1384,-14.08 -14.90 -14.11 -14.89,0.19 0.00 0.00 0.00
1385,-14.08 -14.90 -14.11 -14.89,0.17 0.00 0.00 0.00
1386,-14.08 -14.90 -14.11 -14.89,0.15 0.00 0.00 0.00
1387,-14.08 -14.90 -14.11 -14.89,0.13 0.00 0.00 0.00
1388,-14.08 -14.90 -14.11 -14.89,0.12 0.00 0.00 0.00
1389,-14.08 -14.90 -14.11 -14.89,0.10 0.00 0.00 0.00
1390,-14.08 -14.90 -14.11 -14.89,0.09 0.00 0.00 0.00
1391,-14.08 -14.90 -14.11 -14.89,0.08 0.00 0.00 0.00
1392,-14.08 -14.90 -14.11 -14.89,0.07 0.00 0.00 0.00
1393,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
1394,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
1395,-14.08 -14.90 -14.11 -14.89,0.05 0.00 0.00 0.00
1396,-14.08 -14.90 -14.11 -14.89,0.04 0.00 0.00 0.00
1397,-14.08 -14.90 -14.11 -14.89,0.04 0.00 0.00 0.00
1398,-14.08 -14.90 -14.11 -14.89,0.03 0.00 0.00 0.00
1399,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1400,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1401,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1402,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1403,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1404,-14.08 -14.90 -14.11 -14.89,1.00 0.38 0.00 0.00
1405,-14.08 -14.90 -14.11 -14.89,1.00 0.64 0.00 0.00
1406,-14.08 -14.90 -14.11 -14.89,0.97 0.82 0.00 0.00
1407,-14.08 -14.90 -14.11 -14.89,0.94 0.38 0.00 0.00
1408,-14.08 -14.90 -14.11 -14.89,0.89 0.64 0.00 0.00
1409,-14.08 -14.90 -14.11 -14.89,0.84 0.82 0.00 0.00
1410,-14.08 -14.90 -14.11 -14.89,0.78 0.92 0.00 0.00
1411,-14.08 -14.90 -14.11 -14.89,0.73 0.38 0.00 0.00
1412,-14.08 -14.90 -14.11 -14.89,0.67 0.64 0.00 0.00
1413,-14.08 -14.90 -14.11 -14.89,0.61 0.82 0.00 0.00
1414,-14.08 -14.90 -14.11 -14.89,0.56 0.92 0.00 0.00
1415,-14.08 -14.90 -14.11 -14.89,0.51 0.38 0.00 0.00
1416,-14.08 -14.90 -14.11 -14.89,0.46 0.64 0.00 0.00
1417,-14.08 -14.90 -14.11 -14.89,0.42 0.82 0.00 0.00
1418,-14.08 -14.90 -14.11 -14.89,0.37 0.92 0.00 0.00
1419,-14.08 -14.90 -14.11 -14.89,0.34 0.98 0.00 0.00
1420,-14.08 -14.90 -14.11 -14.89,0.30 0.38 0.00 0.00
1421,-14.08 -14.90 -14.11 -14.89,0.27 0.64 0.00 0.00
1422,-14.08 -14.90 -14.11 -14.89,0.24 0.82 0.00 0.00
1423,-14.08 -14.90 -14.11 -14.89,0.21 0.92 0.00 0.00
1424,-14.08 -14.90 -14.11 -14.89,0.19 0.98 0.00 0.00
1425,-14.08 -14.90 -14.11 -14.89,0.17 1.00 0.00 0.00
1426,-14.08 -14.90 -14.11 -14.89,0.15 0.99 0.00 0.00
1427,-14.08 -14.90 -14.11 -14.89,0.13 0.96 0.00 0.00
1428,-14.08 -14.90 -14.11 -14.89,0.12 0.92 0.00 0.00
1429,-14.08 -14.90 -14.11 -14.89,0.10 0.87 0.00 0.00
1430,-14.08 -14.90 -14.11 -14.89,0.09 0.81 0.00 0.00
1431,-14.08 -14.90 -14.11 -14.89,0.08 0.75 0.00 0.00
1432,-14.08 -14.90 -14.11 -14.89,0.07 0.69 0.00 0.00
1433,-14.08 -14.90 -14.11 -14.89,0.06 0.63 0.00 0.00
1434,-14.08 -14.90 -14.11 -14.89,0.06 0.58 0.00 0.00
1435,-14.08 -14.90 -14.11 -14.89,0.05 0.52 0.00 0.00
1436,-14.08 -14.90 -14.11 -14.89,0.04 0.47 0.00 0.00
1437,-14.08 -14.90 -14.11 -14.89,0.04 0.42 0.00 0.00
1438,-14.08 -14.90 -14.11 -14.89,0.03 0.38 0.00 0.00
1439,-14.08 -14.90 -14.11 -14.89,0.03 0.34 0.00 0.00
1440,-14.08 -14.90 -14.11 -14.89,0.03 0.30 0.00 0.00
1441,-14.08 -14.90 -14.11 -14.89,0.02 0.27 0.00 0.00
1442,-14.08 -14.90 -14.11 -14.89,0.02 0.24 0.00 0.00
1443,-14.08 -14.90 -14.11 -14.89,0.02 0.21 0.00 0.00
1444,-14.08 -14.90 -14.11 -14.89,0.01 0.19 0.00 0.00
1445,-14.08 -14.90 -14.11 -14.89,0.01 0.17 0.00 0.00
1446,-14.08 -14.90 -14.11 -14.89,0.01 0.15 0.00 0.00
1447,-14.08 -14.90 -14.11 -14.89,0.01 0.13 0.00 0.00
1448,-14.08 -14.90 -14.11 -14.89,0.01 0.11 0.00 0.00
1449,-14.08 -14.90 -14.11 -14.89,0.01 0.10 0.00 0.00
1450,-14.08 -14.90 -14.11 -14.89,0.01 0.09 0.00 0.00
1451,-14.08 -14.90 -14.11 -14.89,0.01 0.08 0.00 0.00
1452,-14.08 -14.90 -14.11 -14.89,0.01 0.07 0.00 0.00
1453,-14.08 -14.90 -14.11 -14.89,0.00 0.06 0.00 0.00
1454,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
1455,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
1456,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
1457,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
1458,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
1459,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
1460,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
1461,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
1462,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
1463,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
1464,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
1465,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
1466,-14.08 -14.90 -14.11 -14.89,0.00 0.64 0.00 0.00
1467,-14.08 -14.90 -14.11 -14.89,0.00 0.82 0.00 0.00
1468,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
1469,-14.08 -14.90 -14.11 -14.89,0.00 0.98 0.00 0.00
1470,-14.08 -14.90 -14.11 -14.89,0.00 1.00 0.00 0.00
1471,-14.08 -14.90 -14.11 -14.89,0.00 0.99 0.00 0.00
1472,-14.08 -14.90 -14.11 -14.89,0.00 0.96 0.00 0.00
1473,-14.08 -14.90 -14.11 -14.89,0.00 0.92 0.00 0.00
1474,-14.08 -14.90 -14.11 -14.89,0.00 0.87 0.00 0.00
1475,-14.08 -14.90 -14.11 -14.89,0.00 0.81 0.00 0.00
1476,-14.08 -14.90 -14.11 -14.89,0.00 0.75 0.00 0.00
1477,-14.08 -14.90 -14.11 -14.89,0.00 0.69 0.00 0.00
1478,-14.08 -14.90 -14.11 -14.89,0.00 0.63 0.00 0.00
1479,-14.08 -14.90 -14.11 -14.89,0.00 0.58 0.00 0.00
1480,-14.08 -14.90 -14.11 -14.89,0.00 0.52 0.00 0.00
1481,-14.08 -14.90 -14.11 -14.89,0.00 0.47 0.00 0.00
1482,-14.08 -14.90 -14.11 -14.89,0.00 0.42 0.00 0.00
1483,-14.08 -14.90 -14.11 -14.89,0.00 0.38 0.00 0.00
1484,-14.08 -14.90 -14.11 -14.89,0.00 0.34 0.00 0.00
1485,-14.08 -14.90 -14.11 -14.89,0.00 0.30 0.00 0.00
1486,-14.08 -14.90 -14.11 -14.89,0.00 0.27 0.00 0.00
1487,-14.08 -14.90 -14.11 -14.89,0.00 0.24 0.00 0.00
1488,-14.08 -14.90 -14.11 -14.89,0.00 0.21 0.00 0.00
1489,-14.08 -14.90 -14.11 -14.89,0.00 0.19 0.00 0.00
1490,-14.08 -14.90 -14.11 -14.89,0.00 0.17 0.00 0.00
1491,-14.08 -14.90 -14.11 -14.89,0.00 0.15 0.00 0.00
1492,-14.08 -14.90 -14.11 -14.89,0.00 0.13 0.00 0.00
1493,-14.08 -14.90 -14.11 -14.89,0.00 0.11 0.00 0.00
1494,-14.08 -14.90 -14.11 -14.89,0.00 0.10 0.00 0.00
1495,-14.08 -14.90 -14.11 -14.89,0.00 0.09 0.00 0.00
1496,-14.08 -14.90 -14.11 -14.89,0.00 0.08 0.00 0.00
1497,-14.08 -14.90 -14.11 -14.89,0.00 0.07 0.00 0.00
1498,-14.08 -14.90 -14.11 -14.89,0.00 0.06 0.00 0.00
1499,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
1500,-14.08 -14.90 -14.11 -14.89,0.00 0.05 0.00 0.00
1501,-14.08 -14.90 -14.11 -14.89,0.00 0.04 0.00 0.00
1502,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.00 0.00
1503,-14.08 -14.90 -14.11 -14.89,0.00 0.03 0.00 0.00
1504,-14.08 -14.90 -14.11 -14.89,0.36 0.03 0.00 0.00
1505,-14.08 -14.90 -14.11 -14.89,0.62 0.02 0.00 0.00
1506,-14.08 -14.90 -14.11 -14.89,0.80 0.02 0.00 0.00
1507,-14.08 -14.90 -14.11 -14.89,0.36 0.02 0.00 0.00
1508,-14.08 -14.90 -14.11 -14.89,0.62 0.01 0.00 0.00
1509,-14.08 -14.90 -14.11 -14.89,0.80 0.01 0.00 0.00
1510,-14.08 -14.90 -14.11 -14.89,0.80 0.01 0.00 0.00
1511,-14.08 -14.90 -14.11 -14.89,0.36 0.01 0.00 0.00
1512,-14.08 -14.90 -14.11 -14.89,0.62 0.01 0.00 0.00
1513,-14.08 -14.90 -14.11 -14.89,0.80 0.01 0.00 0.00
1514,-14.08 -14.90 -14.11 -14.89,0.91 0.01 0.00 0.00
1515,-14.08 -14.90 -14.11 -14.89,0.97 0.01 0.00 0.00
1516,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1517,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1518,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1519,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1520,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1521,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
1522,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
1523,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1524,-14.08 -14.90 -14.11 -14.89,0.94 0.00 0.00 0.00
1525,-14.08 -14.90 -14.11 -14.89,0.89 0.00 0.00 0.00
1526,-14.08 -14.90 -14.11 -14.89,0.84 0.00 0.00 0.00
1527,-14.08 -14.90 -14.11 -14.89,0.78 0.00 0.00 0.00
1528,-14.08 -14.90 -14.11 -14.89,0.73 0.00 0.00 0.00
1529,-14.08 -14.90 -14.11 -14.89,0.67 0.00 0.00 0.00
1530,-14.08 -14.90 -14.11 -14.89,0.61 0.00 0.00 0.00
1531,-14.08 -14.90 -14.11 -14.89,0.56 0.00 0.00 0.00
1532,-14.08 -14.90 -14.11 -14.89,0.51 0.00 0.00 0.00
1533,-14.08 -14.90 -14.11 -14.89,0.46 0.00 0.00 0.00
1534,-14.08 -14.90 -14.11 -14.89,0.42 0.00 0.00 0.00
1535,-14.08 -14.90 -14.11 -14.89,0.37 0.00 0.00 0.00
1536,-14.08 -14.90 -14.11 -14.89,0.34 0.00 0.00 0.00
1537,-14.08 -14.90 -14.11 -14.89,0.30 0.00 0.00 0.00
1538,-14.08 -14.90 -14.11 -14.89,0.27 0.00 0.00 0.00
1539,-14.08 -14.90 -14.11 -14.89,0.24 0.00 0.00 0.00
1540,-14.08 -14.90 -14.11 -14.89,0.21 0.00 0.00 0.00
1541,-14.08 -14.90 -14.11 -14.89,0.19 0.00 0.00 0.00
1542,-14.08 -14.90 -14.11 -14.89,0.17 0.00 0.00 0.00
1543,-14.08 -14.90 -14.11 -14.89,0.15 0.00 0.00 0.00
1544,-14.08 -14.90 -14.11 -14.89,0.13 0.00 0.00 0.00
1545,-14.08 -14.90 -14.11 -14.89,0.12 0.00 0.00 0.00
1546,-14.08 -14.90 -14.11 -14.89,0.10 0.00 0.00 0.00
1547,-14.08 -14.90 -14.11 -14.89,0.09 0.00 0.00 0.00
1548,-14.08 -14.90 -14.11 -14.89,0.08 0.00 0.00 0.00
1549,-14.08 -14.90 -14.11 -14.89,0.07 0.00 0.00 0.00
1550,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
1551,-14.08 -14.90 -14.11 -14.89,0.06 0.00 0.00 0.00
1552,-14.08 -14.90 -14.11 -14.89,0.05 0.00 0.00 0.00
1553,-14.08 -14.90 -14.11 -14.89,0.04 0.00 0.00 0.00
1554,-14.08 -14.90 -14.11 -14.89,0.04 0.00 0.00 0.00
1555,-14.08 -14.90 -14.11 -14.89,0.03 0.00 0.00 0.00
1556,-14.08 -14.90 -14.11 -14.89,0.03 0.00 0.00 0.00
1557,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1558,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1559,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1560,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1561,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1562,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1563,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1564,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1565,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1566,-14.08 -14.90 -14.11 -14.89,0.36 0.00 0.00 0.00
1567,-14.08 -14.90 -14.11 -14.89,0.62 0.00 0.00 0.00
1568,-14.08 -14.90 -14.11 -14.89,0.80 0.00 0.00 0.00
1569,-14.08 -14.90 -14.11 -14.89,0.91 0.00 0.00 0.00
1570,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1571,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
1572,-14.08 -14.90 -14.11 -14.89,1.00 0.00 0.00 0.00
1573,-14.08 -14.90 -14.11 -14.89,0.97 0.00 0.00 0.00
1574,-14.08 -14.90 -14.11 -14.89,0.94 0.00 0.00 0.00
1575,-14.08 -14.90 -14.11 -14.89,0.89 0.00 0.00 0.00
1576,-14.08 -14.90 -14.11 -14.89,0.84 0.00 0.00 0.00
1577,-14.08 -14.90 -14.11 -14.89,0.78 0.00 0.00 0.00
